OBJECTID,gridcode,pkey,longitude,latitude
549,19102,19102,-54.7500000,81.2500000
550,19218,19218,-54.2500000,81.2500000
551,19336,19336,-53.7500000,81.2500000
552,19455,19455,-53.2500000,81.2500000
553,19571,19571,-52.7500000,81.2500000
554,19685,19685,-52.2500000,81.2500000
555,19798,19798,-51.7500000,81.2500000
556,19910,19910,-51.2500000,81.2500000
557,20018,20018,-50.7500000,81.2500000
558,20126,20126,-50.2500000,81.2500000
559,20228,20228,-49.7500000,81.2500000
560,20330,20330,-49.2500000,81.2500000
561,20432,20432,-48.7500000,81.2500000
562,20529,20529,-48.2500000,81.2500000
563,20624,20624,-47.7500000,81.2500000
564,20718,20718,-47.2500000,81.2500000
565,20811,20811,-46.7500000,81.2500000
566,20904,20904,-46.2500000,81.2500000
567,20996,20996,-45.7500000,81.2500000
568,21089,21089,-45.2500000,81.2500000
569,21181,21181,-44.7500000,81.2500000
570,21272,21272,-44.2500000,81.2500000
571,21362,21362,-43.7500000,81.2500000
572,21453,21453,-43.2500000,81.2500000
573,21540,21540,-42.7500000,81.2500000
574,21626,21626,-42.2500000,81.2500000
575,21708,21708,-41.7500000,81.2500000
576,21791,21791,-41.2500000,81.2500000
577,21871,21871,-40.7500000,81.2500000
578,21945,21945,-40.2500000,81.2500000
579,22017,22017,-39.7500000,81.2500000
580,22083,22083,-39.2500000,81.2500000
581,22144,22144,-38.7500000,81.2500000
582,22200,22200,-38.2500000,81.2500000
583,22255,22255,-37.7500000,81.2500000
584,22307,22307,-37.2500000,81.2500000
585,22357,22357,-36.7500000,81.2500000
586,22407,22407,-36.2500000,81.2500000
587,22455,22455,-35.7500000,81.2500000
588,22501,22501,-35.2500000,81.2500000
589,22540,22540,-34.7500000,81.2500000
590,22575,22575,-34.2500000,81.2500000
591,22610,22610,-33.7500000,81.2500000
592,22646,22646,-33.2500000,81.2500000
593,22681,22681,-32.7500000,81.2500000
594,22715,22715,-32.2500000,81.2500000
595,22747,22747,-31.7500000,81.2500000
596,22781,22781,-31.2500000,81.2500000
597,22813,22813,-30.7500000,81.2500000
598,22845,22845,-30.2500000,81.2500000
599,22877,22877,-29.7500000,81.2500000
600,22911,22911,-29.2500000,81.2500000
601,22945,22945,-28.7500000,81.2500000
602,22978,22978,-28.2500000,81.2500000
603,23009,23009,-27.7500000,81.2500000
604,23040,23040,-27.2500000,81.2500000
605,23070,23070,-26.7500000,81.2500000
606,23100,23100,-26.2500000,81.2500000
607,23131,23131,-25.7500000,81.2500000
608,23165,23165,-25.2500000,81.2500000
609,23196,23196,-24.7500000,81.2500000
610,23230,23230,-24.2500000,81.2500000
611,23263,23263,-23.7500000,81.2500000
612,23297,23297,-23.2500000,81.2500000
613,23333,23333,-22.7500000,81.2500000
614,23366,23366,-22.2500000,81.2500000
615,23396,23396,-21.7500000,81.2500000
616,23421,23421,-21.2500000,81.2500000
617,23446,23446,-20.7500000,81.2500000
618,23473,23473,-20.2500000,81.2500000
619,23498,23498,-19.7500000,81.2500000
620,23522,23522,-19.2500000,81.2500000
621,23542,23542,-18.7500000,81.2500000
622,23563,23563,-18.2500000,81.2500000
623,23581,23581,-17.7500000,81.2500000
624,23597,23597,-17.2500000,81.2500000
625,23623,23623,-16.7500000,81.2500000
626,23661,23661,-16.2500000,81.2500000
627,23700,23700,-15.7500000,81.2500000
628,23738,23738,-15.2500000,81.2500000
629,23778,23778,-14.7500000,81.2500000
630,23820,23820,-14.2500000,81.2500000
631,23864,23864,-13.7500000,81.2500000
632,23907,23907,-13.2500000,81.2500000
633,23951,23951,-12.7500000,81.2500000
634,23997,23997,-12.2500000,81.2500000
635,24043,24043,-11.7500000,81.2500000
636,24090,24090,-11.2500000,81.2500000
637,42553,42553,54.7500000,81.2500000
638,42784,42784,55.7500000,81.2500000
639,42898,42898,56.2500000,81.2500000
640,43006,43006,56.7500000,81.2500000
641,43115,43115,57.2500000,81.2500000
642,43222,43222,57.7500000,81.2500000
643,43327,43327,58.2500000,81.2500000
644,43829,43829,60.7500000,81.2500000
645,43925,43925,61.2500000,81.2500000
646,44020,44020,61.7500000,81.2500000
647,44491,44491,64.2500000,81.2500000
648,44584,44584,64.7500000,81.2500000
649,44677,44677,65.2500000,81.2500000
650,50244,50244,89.7500000,81.2500000
651,50354,50354,90.2500000,81.2500000
652,50463,50463,90.7500000,81.2500000
653,50574,50574,91.2500000,81.2500000
654,51284,51284,94.2500000,81.2500000
655,51412,51412,94.7500000,81.2500000
656,51543,51543,95.2500000,81.2500000
657,51678,51678,95.7500000,81.2500000
658,51813,51813,96.2500000,81.2500000
659,8193,8193,-96.2500000,80.7500000
660,8301,8301,-95.7500000,80.7500000
661,8410,8410,-95.2500000,80.7500000
