INPUT_TABLE
Variable ID
RenewRsrcCurves

region,renewresource,sub.renewable.resource,grade,available,extractioncost
Central Asia,Amu Darya-water withdrawals,runoff,grade13,1.32287731924281,1.21989754024646
Central Asia,Amu Darya-water withdrawals,runoff,grade14,1.42287731924281,2.08668396588329
Central Asia,Amu Darya-water withdrawals,runoff,grade15,1.52287731924281,3.13317785720155
Central Asia,Amu Darya-water withdrawals,runoff,grade16,1.62287731924281,4.32905751994369
Central Asia,Amu Darya-water withdrawals,runoff,grade17,1.72287731924281,5.64400125985215
Central Asia,Amu Darya-water withdrawals,runoff,grade18,1.82287731924281,7.04768738266938
Central Asia,Amu Darya-water withdrawals,runoff,grade19,1.92287731924281,8.50979419413785
Central Asia,Amu Darya-water withdrawals,runoff,grade20,2.02287731924281,10
Central Asia,Amur-water withdrawals,runoff,grade1,0,1e-05
Central Asia,Amur-water withdrawals,runoff,grade2,0.059,1.1358024691358e-05
Central Asia,Amur-water withdrawals,runoff,grade3,0.118,2.08641975308642e-05
Central Asia,Amur-water withdrawals,runoff,grade4,0.177,4.66666666666667e-05
Central Asia,Amur-water withdrawals,runoff,grade5,0.236,9.69135802469136e-05
Central Asia,Amur-water withdrawals,runoff,grade6,0.295,0.000179753086419753
Central Asia,Amur-water withdrawals,runoff,grade7,0.354,0.000303333333333333
Central Asia,Amur-water withdrawals,runoff,grade8,0.413,0.000475802469135803
Central Asia,Amur-water withdrawals,runoff,grade9,0.472,0.000705308641975309
Central Asia,Amur-water withdrawals,runoff,grade10,0.531,0.001
Central Asia,Amur-water withdrawals,runoff,grade11,0.5779,0.148991392718475
Central Asia,Amur-water withdrawals,runoff,grade12,0.6248,0.571211903300339
Central Asia,Amur-water withdrawals,runoff,grade13,0.6717,1.23581799648695
Central Asia,Amur-water withdrawals,runoff,grade14,0.7186,2.11096613701966
Central Asia,Amur-water withdrawals,runoff,grade15,0.7655,3.16481278963983
Central Asia,Amur-water withdrawals,runoff,grade16,0.8124,4.36551441908881
Central Asia,Amur-water withdrawals,runoff,grade17,0.8593,5.68122749010796
Central Asia,Amur-water withdrawals,runoff,grade18,0.9062,7.08010846743864
Central Asia,Amur-water withdrawals,runoff,grade19,0.9531,8.5303138158222
Central Asia,Amur-water withdrawals,runoff,grade20,1,10
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade2,0.0685555555555556,1.1358024691358e-05
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade3,0.137111111111111,2.08641975308642e-05
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade4,0.205666666666667,4.66666666666667e-05
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade5,0.274222222222222,9.69135802469136e-05
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade6,0.342777777777778,0.000179753086419753
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade7,0.411333333333333,0.000303333333333333
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade8,0.479888888888889,0.000475802469135802
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade9,0.548444444444444,0.000705308641975309
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade10,0.617,0.001
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade11,0.6553,0.156665898068055
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade12,0.6936,0.598623770404408
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade13,0.7319,1.28986696848611
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade14,0.7702,2.19338884379021
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade15,0.8085,3.27218274779376
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade16,0.8468,4.48924203197381
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade17,0.8851,5.8075600478074
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade18,0.9234,7.1901301467716
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade19,0.9617,8.59994568034345
Africa_Southern,Angola-Coast-water withdrawals,runoff,grade20,1,10
Middle East,Arabian Peninsula-water withdrawals,runoff,grade1,0,1e-05
Middle East,Arabian Peninsula-water withdrawals,runoff,grade2,0.0211136969155484,1.1358024691358e-05
Middle East,Arabian Peninsula-water withdrawals,runoff,grade3,0.0422273938310968,2.08641975308642e-05
Middle East,Arabian Peninsula-water withdrawals,runoff,grade4,0.0633410907466452,4.66666666666667e-05
Middle East,Arabian Peninsula-water withdrawals,runoff,grade5,0.0844547876621936,9.69135802469136e-05
Middle East,Arabian Peninsula-water withdrawals,runoff,grade6,0.105568484577742,0.000179753086419753
